user_id,recency,frequency,monetary,surge_exposure(%),r,f,m,s,rfm_concat,rfm_score,riders_segmentation,weighted_score,weighted_segmentation
R00063,4,18,284.54,0.3333333333333333,4,2,2,2,422,10,Occasional Riders,2.8000000000000003,Average Risk Rider
R00064,18,13,240.39,0.46153846153846156,2,1,1,4,211,8,Occasional Riders,1.7000000000000002,Critical Risk Rider (likely churn)
R00065,9,18,315.37,0.16666666666666666,3,2,3,1,323,9,Occasional Riders,2.5000000000000004,Average Risk Rider
R00066,45,19,269.15,0.3157894736842105,1,2,2,2,122,7,Occasional Riders,1.5999999999999999,Critical Risk Rider (likely churn)
R00067,45,15,189.85999999999999,0.0,1,1,1,1,111,4,At Risk Users,0.9999999999999999,Critical Risk Rider (likely churn)
R00068,6,26,386.43,0.34615384615384615,4,4,4,3,444,15,High‑Value Loyalists,3.8999999999999995,Loyal Rider
R00069,3,25,331.09,0.24,4,4,3,1,443,12,Regular Commuters,3.5,Loyal Rider
R00070,19,18,296.24,0.5,2,2,2,4,222,10,Occasional Riders,2.1999999999999997,Average Risk Rider
R00071,5,32,439.81,0.28125,4,4,4,2,444,14,Regular Commuters,3.8,Loyal Rider
R00072,23,20,307.01,0.4,2,2,3,3,223,10,Occasional Riders,2.3,Average Risk Rider
R00073,14,16,294.43,0.5,3,1,2,4,312,10,Occasional Riders,2.3000000000000003,Average Risk Rider
R00074,8,21,316.65,0.2857142857142857,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00075,18,21,346.8,0.42857142857142855,2,3,3,4,233,12,Regular Commuters,2.6999999999999997,Average Risk Rider
R00076,36,19,278.36,0.3684210526315789,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00077,26,13,226.78,0.38461538461538464,2,1,1,3,211,7,Occasional Riders,1.6,Critical Risk Rider (likely churn)
R00078,2,19,327.38,0.5263157894736842,4,2,3,4,423,13,Regular Commuters,3.2,Loyal Rider
R00079,14,31,517.05,0.41935483870967744,3,4,4,4,344,15,High‑Value Loyalists,3.6,Loyal Rider
R00080,75,20,326.02,0.5,1,2,3,4,123,10,Occasional Riders,2.0,Average Risk Rider
R00081,50,25,382.93,0.32,1,4,4,2,144,11,Regular Commuters,2.6000000000000005,Average Risk Rider
R00082,2,21,370.72,0.42857142857142855,4,3,4,4,434,15,High‑Value Loyalists,3.6999999999999997,Loyal Rider
R00083,21,17,286.36,0.23529411764705882,2,1,2,1,212,6,At Risk Users,1.6,Critical Risk Rider (likely churn)
R00084,12,20,345.95,0.45,3,2,3,4,323,12,Regular Commuters,2.8000000000000003,Average Risk Rider
R00085,55,19,273.57,0.3684210526315789,1,2,2,3,122,8,Occasional Riders,1.7,Critical Risk Rider (likely churn)
R00086,47,24,356.04,0.20833333333333334,1,4,3,1,143,9,Occasional Riders,2.3000000000000003,Average Risk Rider
R00087,7,20,315.32,0.3,4,2,3,2,423,11,Regular Commuters,3.0000000000000004,Loyal Rider
R00088,8,21,318.18,0.3333333333333333,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00089,17,30,496.09,0.3333333333333333,2,4,4,2,244,12,Regular Commuters,3.0,Average Risk Rider
R00090,26,24,406.65,0.4166666666666667,2,4,4,4,244,14,Regular Commuters,3.1999999999999997,Loyal Rider
R00091,134,15,247.52,0.26666666666666666,1,1,1,2,111,5,At Risk Users,1.0999999999999999,Critical Risk Rider (likely churn)
R00092,9,22,368.51,0.3181818181818182,3,3,4,2,334,12,Regular Commuters,3.1000000000000005,Loyal Rider
R00093,2,26,368.76,0.19230769230769232,4,4,4,1,444,13,Regular Commuters,3.6999999999999997,Loyal Rider
R00094,12,20,264.42,0.15,3,2,2,1,322,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00095,86,22,364.74,0.45454545454545453,1,3,4,4,134,12,Regular Commuters,2.4999999999999996,Average Risk Rider
R00096,15,23,357.83,0.2608695652173913,2,3,4,1,234,10,Occasional Riders,2.6,Average Risk Rider
R00097,34,16,208.87,0.4375,1,1,1,4,111,7,Occasional Riders,1.2999999999999998,Critical Risk Rider (likely churn)
R00098,4,24,357.52,0.20833333333333334,4,4,4,1,444,13,Regular Commuters,3.6999999999999997,Loyal Rider
R00099,16,26,395.9,0.34615384615384615,2,4,4,3,244,13,Regular Commuters,3.0999999999999996,Loyal Rider
R00100,23,23,383.65,0.34782608695652173,2,3,4,3,234,12,Regular Commuters,2.8,Average Risk Rider
R00101,4,28,401.03,0.32142857142857145,4,4,4,2,444,14,Regular Commuters,3.8,Loyal Rider
R00102,19,12,171.6,0.25,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00103,27,22,332.85,0.18181818181818182,2,3,3,1,233,9,Occasional Riders,2.4,Average Risk Rider
R00104,22,17,284.03,0.35294117647058826,2,1,2,3,212,8,Occasional Riders,1.8,Critical Risk Rider (likely churn)
R00105,21,24,383.98,0.3333333333333333,2,4,4,2,244,12,Regular Commuters,3.0,Average Risk Rider
R00106,11,21,333.97,0.5238095238095238,3,3,3,4,333,13,Regular Commuters,3.1,Loyal Rider
R00107,28,13,228.5,0.38461538461538464,1,1,1,3,111,6,At Risk Users,1.2,Critical Risk Rider (likely churn)
R00108,11,20,301.90999999999997,0.4,3,2,2,3,322,10,Occasional Riders,2.5,Average Risk Rider
R00109,4,21,300.33,0.38095238095238093,4,3,2,3,432,12,Regular Commuters,3.1999999999999997,Loyal Rider
R00110,45,12,219.6,0.4166666666666667,1,1,1,4,111,7,Occasional Riders,1.2999999999999998,Critical Risk Rider (likely churn)
R00111,5,22,320.63,0.22727272727272727,4,3,3,1,433,11,Regular Commuters,3.2,Loyal Rider
R00112,22,18,288.27,0.5,2,2,2,4,222,10,Occasional Riders,2.1999999999999997,Average Risk Rider
R00113,15,21,365.87,0.5238095238095238,2,3,4,4,234,13,Regular Commuters,2.9,Average Risk Rider
R00114,5,28,499.38,0.42857142857142855,4,4,4,4,444,16,High‑Value Loyalists,3.9999999999999996,Loyal Rider
R00115,19,18,264.76,0.3888888888888889,2,2,2,3,222,9,Occasional Riders,2.0999999999999996,Average Risk Rider
R00116,12,21,360.78,0.38095238095238093,3,3,4,3,334,13,Regular Commuters,3.2,Loyal Rider
R00117,3,25,346.5,0.44,4,4,3,4,443,15,High‑Value Loyalists,3.8,Loyal Rider
R00118,38,16,265.4,0.4375,1,1,2,4,112,8,Occasional Riders,1.5,Critical Risk Rider (likely churn)
R00119,6,17,251.88,0.23529411764705882,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00120,4,14,207.7,0.42857142857142855,4,1,1,4,411,10,Occasional Riders,2.5,Average Risk Rider
R00121,9,9,126.46000000000001,0.3333333333333333,3,1,1,2,311,7,Occasional Riders,1.9000000000000001,Critical Risk Rider (likely churn)
R00122,60,18,276.9,0.2777777777777778,1,2,2,2,122,7,Occasional Riders,1.5999999999999999,Critical Risk Rider (likely churn)
R00123,19,23,311.43,0.21739130434782608,2,3,3,1,233,9,Occasional Riders,2.4,Average Risk Rider
R00124,6,21,346.26,0.3333333333333333,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00125,10,21,347.36,0.3333333333333333,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00126,9,26,413.12,0.38461538461538464,3,4,4,3,344,14,Regular Commuters,3.5,Loyal Rider
R00127,9,16,242.22,0.25,3,1,1,1,311,6,At Risk Users,1.8000000000000003,Critical Risk Rider (likely churn)
R00128,24,19,302.01,0.2631578947368421,2,2,2,1,222,7,Occasional Riders,1.9,Critical Risk Rider (likely churn)
R00129,15,18,307.89,0.2222222222222222,2,2,3,1,223,8,Occasional Riders,2.1,Average Risk Rider
R00130,4,19,287.0,0.2631578947368421,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00131,3,30,463.41,0.3,4,4,4,2,444,14,Regular Commuters,3.8,Loyal Rider
R00132,5,16,222.95000000000002,0.5,4,1,1,4,411,10,Occasional Riders,2.5,Average Risk Rider
R00133,12,24,401.13,0.4166666666666667,3,4,4,4,344,15,High‑Value Loyalists,3.6,Loyal Rider
R00134,48,16,238.48,0.25,1,1,1,1,111,4,At Risk Users,0.9999999999999999,Critical Risk Rider (likely churn)
R00135,106,12,176.37,0.4166666666666667,1,1,1,4,111,7,Occasional Riders,1.2999999999999998,Critical Risk Rider (likely churn)
R00136,29,18,274.63,0.4444444444444444,1,2,2,4,122,9,Occasional Riders,1.7999999999999998,Critical Risk Rider (likely churn)
R00137,9,21,319.67,0.23809523809523808,3,3,3,1,333,10,Occasional Riders,2.8000000000000003,Average Risk Rider
R00138,35,19,303.34,0.3157894736842105,1,2,2,2,122,7,Occasional Riders,1.5999999999999999,Critical Risk Rider (likely churn)
R00139,39,23,343.67,0.17391304347826086,1,3,3,1,133,8,Occasional Riders,2.0,Average Risk Rider
R00140,20,19,312.18,0.42105263157894735,2,2,3,4,223,11,Regular Commuters,2.4,Average Risk Rider
R00141,50,24,337.09000000000003,0.4166666666666667,1,4,3,4,143,12,Regular Commuters,2.6,Average Risk Rider
R00142,3,24,361.8,0.20833333333333334,4,4,4,1,444,13,Regular Commuters,3.6999999999999997,Loyal Rider
R00143,19,19,326.51,0.3684210526315789,2,2,3,3,223,10,Occasional Riders,2.3,Average Risk Rider
R00144,8,25,416.8,0.32,3,4,4,2,344,13,Regular Commuters,3.4000000000000004,Loyal Rider
R00145,7,21,402.64,0.6190476190476191,4,3,4,4,434,15,High‑Value Loyalists,3.6999999999999997,Loyal Rider
R00146,5,15,254.68,0.4,4,1,1,3,411,9,Occasional Riders,2.4,Average Risk Rider
R00147,13,23,404.86,0.34782608695652173,3,3,4,3,334,13,Regular Commuters,3.2,Loyal Rider
R00148,18,14,215.59,0.2857142857142857,2,1,1,2,211,6,At Risk Users,1.5,Critical Risk Rider (likely churn)
R00149,59,22,334.41,0.4090909090909091,1,3,3,3,133,10,Occasional Riders,2.1999999999999997,Average Risk Rider
R00150,59,13,164.34,0.0,1,1,1,1,111,4,At Risk Users,0.9999999999999999,Critical Risk Rider (likely churn)
R00151,2,23,384.85,0.34782608695652173,4,3,4,3,434,14,Regular Commuters,3.5999999999999996,Loyal Rider
R00152,33,31,521.0600000000001,0.3870967741935484,1,4,4,3,144,12,Regular Commuters,2.7,Average Risk Rider
R00153,10,20,287.7,0.25,3,2,2,1,322,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00154,3,23,351.69,0.2608695652173913,4,3,3,1,433,11,Regular Commuters,3.2,Loyal Rider
R00155,25,17,274.15999999999997,0.35294117647058826,2,1,2,3,212,8,Occasional Riders,1.8,Critical Risk Rider (likely churn)
R00156,42,13,216.95,0.38461538461538464,1,1,1,3,111,6,At Risk Users,1.2,Critical Risk Rider (likely churn)
R00157,11,26,367.5,0.34615384615384615,3,4,4,3,344,14,Regular Commuters,3.5,Loyal Rider
R00158,5,25,387.24,0.2,4,4,4,1,444,13,Regular Commuters,3.6999999999999997,Loyal Rider
R00159,17,17,269.11,0.5882352941176471,2,1,2,4,212,9,Occasional Riders,1.9,Critical Risk Rider (likely churn)
R00160,2,18,290.68,0.3888888888888889,4,2,2,3,422,11,Regular Commuters,2.9,Average Risk Rider
R00161,3,19,298.01,0.10526315789473684,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00162,20,23,372.39,0.34782608695652173,2,3,4,3,234,12,Regular Commuters,2.8,Average Risk Rider
R00163,9,16,254.07999999999998,0.25,3,1,1,1,311,6,At Risk Users,1.8000000000000003,Critical Risk Rider (likely churn)
R00164,6,24,395.06,0.2916666666666667,4,4,4,2,444,14,Regular Commuters,3.8,Loyal Rider
R00165,12,24,361.35,0.375,3,4,4,3,344,14,Regular Commuters,3.5,Loyal Rider
R00166,20,23,365.87,0.21739130434782608,2,3,4,1,234,10,Occasional Riders,2.6,Average Risk Rider
R00167,7,19,325.61,0.3684210526315789,4,2,3,3,423,12,Regular Commuters,3.1,Loyal Rider
R00168,10,17,276.27,0.35294117647058826,3,1,2,3,312,9,Occasional Riders,2.2,Average Risk Rider
R00169,8,20,268.39,0.15,3,2,2,1,322,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00170,14,14,206.54,0.35714285714285715,3,1,1,3,311,8,Occasional Riders,2.0,Average Risk Rider
R00171,3,20,300.03,0.25,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00172,12,26,377.28999999999996,0.3076923076923077,3,4,4,2,344,13,Regular Commuters,3.4000000000000004,Loyal Rider
R00173,91,19,304.13,0.21052631578947367,1,2,2,1,122,6,At Risk Users,1.5,Critical Risk Rider (likely churn)
R00174,3,23,383.27,0.2608695652173913,4,3,4,1,434,12,Regular Commuters,3.4,Loyal Rider
R00175,26,11,155.68,0.18181818181818182,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00176,14,26,381.63,0.23076923076923078,3,4,4,1,344,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00177,73,21,339.64,0.5238095238095238,1,3,3,4,133,11,Regular Commuters,2.3,Average Risk Rider
R00178,5,23,356.15000000000003,0.30434782608695654,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00179,37,25,380.19,0.28,1,4,4,2,144,11,Regular Commuters,2.6000000000000005,Average Risk Rider
R00180,9,14,205.14,0.35714285714285715,3,1,1,3,311,8,Occasional Riders,2.0,Average Risk Rider
R00181,7,18,262.74,0.2222222222222222,4,2,2,1,422,9,Occasional Riders,2.7,Average Risk Rider
R00182,21,17,223.07,0.17647058823529413,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00183,15,24,385.74,0.375,2,4,4,3,244,13,Regular Commuters,3.0999999999999996,Loyal Rider
R00184,18,19,313.37,0.42105263157894735,2,2,3,4,223,11,Regular Commuters,2.4,Average Risk Rider
R00185,5,19,289.74,0.3684210526315789,4,2,2,3,422,11,Regular Commuters,2.9,Average Risk Rider
R00186,3,10,131.33,0.1,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00187,77,18,292.28000000000003,0.4444444444444444,1,2,2,4,122,9,Occasional Riders,1.7999999999999998,Critical Risk Rider (likely churn)
R00188,10,14,219.67000000000002,0.14285714285714285,3,1,1,1,311,6,At Risk Users,1.8000000000000003,Critical Risk Rider (likely churn)
R00189,10,31,462.11,0.3225806451612903,3,4,4,2,344,13,Regular Commuters,3.4000000000000004,Loyal Rider
R00190,44,17,297.7,0.29411764705882354,1,1,2,2,112,6,At Risk Users,1.3,Critical Risk Rider (likely churn)
R00191,7,16,232.01,0.125,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00192,3,24,317.24,0.20833333333333334,4,4,3,1,443,12,Regular Commuters,3.5,Loyal Rider
R00193,5,17,321.95,0.4117647058823529,4,1,3,4,413,12,Regular Commuters,2.9,Average Risk Rider
R00194,22,22,368.93,0.2727272727272727,2,3,4,2,234,11,Regular Commuters,2.7,Average Risk Rider
R00195,11,20,322.01,0.3,3,2,3,2,323,10,Occasional Riders,2.6000000000000005,Average Risk Rider
R00196,24,16,265.72,0.4375,2,1,2,4,212,9,Occasional Riders,1.9,Critical Risk Rider (likely churn)
R00197,66,6,99.73,0.3333333333333333,1,1,1,2,111,5,At Risk Users,1.0999999999999999,Critical Risk Rider (likely churn)
R00198,12,22,338.22,0.3181818181818182,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00199,44,15,223.85999999999999,0.4,1,1,1,3,111,6,At Risk Users,1.2,Critical Risk Rider (likely churn)
R00200,8,25,340.05,0.24,3,4,3,1,343,11,Regular Commuters,3.1000000000000005,Loyal Rider
R00201,26,11,165.96,0.45454545454545453,2,1,1,4,211,8,Occasional Riders,1.7000000000000002,Critical Risk Rider (likely churn)
R00202,39,7,111.2,0.2857142857142857,1,1,1,2,111,5,At Risk Users,1.0999999999999999,Critical Risk Rider (likely churn)
R00203,5,19,275.64,0.42105263157894735,4,2,2,4,422,12,Regular Commuters,3.0,Average Risk Rider
R00204,27,18,262.23,0.3333333333333333,2,2,2,2,222,8,Occasional Riders,1.9999999999999998,Critical Risk Rider (likely churn)
R00205,11,23,364.0,0.43478260869565216,3,3,4,4,334,14,Regular Commuters,3.3000000000000003,Loyal Rider
R00206,12,15,221.34,0.4666666666666667,3,1,1,4,311,9,Occasional Riders,2.1,Average Risk Rider
R00207,3,23,366.51,0.30434782608695654,4,3,4,2,434,13,Regular Commuters,3.5,Loyal Rider
R00208,57,14,235.34,0.35714285714285715,1,1,1,3,111,6,At Risk Users,1.2,Critical Risk Rider (likely churn)
R00209,30,18,264.29,0.2777777777777778,1,2,2,2,122,7,Occasional Riders,1.5999999999999999,Critical Risk Rider (likely churn)
R00210,26,20,319.67,0.3,2,2,3,2,223,9,Occasional Riders,2.2,Average Risk Rider
R00211,5,15,214.77,0.06666666666666667,4,1,1,1,411,7,Occasional Riders,2.2,Average Risk Rider
R00212,5,21,316.32,0.3333333333333333,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00213,8,25,351.69,0.4,3,4,3,3,343,13,Regular Commuters,3.3000000000000003,Loyal Rider
R00214,11,17,245.51,0.29411764705882354,3,1,1,2,311,7,Occasional Riders,1.9000000000000001,Critical Risk Rider (likely churn)
R00215,16,22,331.39,0.3181818181818182,2,3,3,2,233,10,Occasional Riders,2.5,Average Risk Rider
R00216,11,19,311.96,0.47368421052631576,3,2,3,4,323,12,Regular Commuters,2.8000000000000003,Average Risk Rider
R00217,12,21,284.48,0.2857142857142857,3,3,2,2,332,10,Occasional Riders,2.7,Average Risk Rider
R00218,8,20,301.34000000000003,0.4,3,2,2,3,322,10,Occasional Riders,2.5,Average Risk Rider
R00219,8,21,364.69,0.42857142857142855,3,3,4,4,334,14,Regular Commuters,3.3000000000000003,Loyal Rider
R00220,8,23,357.36,0.5217391304347826,3,3,4,4,334,14,Regular Commuters,3.3000000000000003,Loyal Rider
R00221,4,24,428.41,0.375,4,4,4,3,444,15,High‑Value Loyalists,3.8999999999999995,Loyal Rider
R00222,24,15,221.03,0.2,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00223,37,22,334.06,0.3181818181818182,1,3,3,2,133,9,Occasional Riders,2.1,Average Risk Rider
R00224,24,17,296.57,0.5294117647058824,2,1,2,4,212,9,Occasional Riders,1.9,Critical Risk Rider (likely churn)
R00225,13,13,216.7,0.38461538461538464,3,1,1,3,311,8,Occasional Riders,2.0,Average Risk Rider
R00226,35,22,312.66,0.3181818181818182,1,3,3,2,133,9,Occasional Riders,2.1,Average Risk Rider
R00227,8,13,171.8,0.38461538461538464,3,1,1,3,311,8,Occasional Riders,2.0,Average Risk Rider
R00228,25,18,241.02,0.2222222222222222,2,2,1,1,221,6,At Risk Users,1.7,Critical Risk Rider (likely churn)
R00229,3,21,353.51,0.2857142857142857,4,3,3,2,433,12,Regular Commuters,3.3000000000000003,Loyal Rider
R00230,20,24,388.6,0.20833333333333334,2,4,4,1,244,11,Regular Commuters,2.9,Average Risk Rider
R00231,14,22,312.44,0.2727272727272727,3,3,3,2,333,11,Regular Commuters,2.9000000000000004,Average Risk Rider
R00232,8,14,210.96,0.2857142857142857,3,1,1,2,311,7,Occasional Riders,1.9000000000000001,Critical Risk Rider (likely churn)
R00233,4,25,408.9,0.36,4,4,4,3,444,15,High‑Value Loyalists,3.8999999999999995,Loyal Rider
R00234,16,14,212.26999999999998,0.21428571428571427,2,1,1,1,211,5,At Risk Users,1.4000000000000001,Critical Risk Rider (likely churn)
R00235,10,27,409.18,0.2962962962962963,3,4,4,2,344,13,Regular Commuters,3.4000000000000004,Loyal Rider
R00236,6,16,273.74,0.1875,4,1,2,1,412,8,Occasional Riders,2.4000000000000004,Average Risk Rider
R00237,10,15,271.13,0.6,3,1,2,4,312,10,Occasional Riders,2.3000000000000003,Average Risk Rider
R00238,2,15,203.47,0.26666666666666666,4,1,1,2,411,8,Occasional Riders,2.3000000000000003,Average Risk Rider
R00239,18,14,225.81,0.42857142857142855,2,1,1,4,211,8,Occasional Riders,1.7000000000000002,Critical Risk Rider (likely churn)
R00240,20,14,231.57999999999998,0.5714285714285714,2,1,1,4,211,8,Occasional Riders,1.7000000000000002,Critical Risk Rider (likely churn)
